date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:15:46	44/44	---MCZ	200	added ('OK')	text/plain	date:Sun,%2019%20Feb%202023%2001:15:46%20GMT	https://territorial.io/robots.txt		(from )
20:15:46	372889/372889	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Feb%202023%2001:15:46%20GMT	https://territorial.io/	C:/My%20Web%20Sites/Territorial.io/territorial.io/index.html	(from )
20:15:47	1827/1827	---MCZ	200	added ('OK')	text/plain	date:Sun,%2019%20Feb%202023%2001:15:47%20GMT	https://territorial.io/cookie_policy	C:/My%20Web%20Sites/Territorial.io/territorial.io/cookie_policy	(from https://territorial.io/)
20:15:47	3156/3156	---MCZ	200	added ('OK')	text/plain	date:Sun,%2019%20Feb%202023%2001:15:47%20GMT	https://territorial.io/privacy_policy	C:/My%20Web%20Sites/Territorial.io/territorial.io/privacy_policy	(from https://territorial.io/)
20:15:48	7155/7155	---MCZ	200	added ('OK')	text/plain	date:Sun,%2019%20Feb%202023%2001:15:47%20GMT	https://territorial.io/tutorial	C:/My%20Web%20Sites/Territorial.io/territorial.io/tutorial	(from https://territorial.io/)
20:15:48	6401/6401	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sun,%2019%20Feb%202023%2001:15:48%20GMT	https://territorial.io/s50/	C:/My%20Web%20Sites/Territorial.io/territorial.io/s50/index.html	(from https://territorial.io/)
20:15:48	6401/6401	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sun,%2019%20Feb%202023%2001:15:48%20GMT	https://territorial.io/s50/	C:/My%20Web%20Sites/Territorial.io/territorial.io/s50/index.html	(from https://territorial.io/)
20:15:49	6401/6401	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sun,%2019%20Feb%202023%2001:15:49%20GMT	https://territorial.io/s51/	C:/My%20Web%20Sites/Territorial.io/territorial.io/s51/index.html	(from https://territorial.io/)
20:15:49	6401/6401	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sun,%2019%20Feb%202023%2001:15:49%20GMT	https://territorial.io/s51/	C:/My%20Web%20Sites/Territorial.io/territorial.io/s51/index.html	(from https://territorial.io/)
20:15:49	6401/6401	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sun,%2019%20Feb%202023%2001:15:49%20GMT	https://territorial.io/s50/	C:/My%20Web%20Sites/Territorial.io/territorial.io/s50/index.html	(from https://territorial.io/)
20:15:49	6401/6401	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sun,%2019%20Feb%202023%2001:15:49%20GMT	https://territorial.io/s51/	C:/My%20Web%20Sites/Territorial.io/territorial.io/s51/index.html	(from https://territorial.io/)
